data_type,variable,grouping_vars,hit,note,status
shrub_shape,SagebrushShape_Live_ColumnCount,SG_Group;chckbox,,,
shrub_shape,SagebrushShape_Live_SpreadCount,SG_Group;chckbox,,,
shrub_shape,SagebrushShape_Live_Predominant,SG_Group;chckbox,,,
species_richness,NumSpp_Total,,,,
species_richness,NumSpp_Native,,,,
species_richness,NumSpp_Exotic,,,,
species_richness,NumSpp_Invasive,,,,
species_richness,NumSpp_Noxious,,,,
species_richness,NumSpp_PreferredForb,,,,
rangeland_health,RH_Rills,,,,
rangeland_health,RH_WaterFlowPatterns,,,,
rangeland_health,RH_PedestalsTerracettes,,,,
rangeland_health,RH_BareGround,,,,
rangeland_health,RH_Gullies,,,,
rangeland_health,RH_WindScouredAreas,,,,
rangeland_health,RH_LitterMovement,,,,
rangeland_health,RH_LitterAmount,,,,
rangeland_health,RH_SoilSurfResisErosion,,,,
rangeland_health,RH_SoilSurfLossDeg,,,,
rangeland_health,RH_PlantCommunityComp,,,,
rangeland_health,RH_Compaction,,,,
rangeland_health,RH_FuncSructGroup,,,,
rangeland_health,RH_DeadDyingPlantParts,,,,
rangeland_health,RH_AnnualProd,,,,
rangeland_health,RH_InvasivePlants,,,,
rangeland_health,RH_ReprodCapabilityPeren,,,,
rangeland_health,RH_BioticIntegrity,,,,
rangeland_health,RH_HydrologicFunction,,,,
rangeland_health,RH_SoilSiteStability,,,,
rangeland_health,RH_CommentsBI,,,,
rangeland_health,RH_CommentsHF,,,,
rangeland_health,RH_CommentsSS,,,,
metadata_2,Purpose,,,,
metadata_3,PurposeFlag,,,,
metadata_4,Design,,,,
metadata_5,DesignFlag,,,,
metadata_6,created_user,,,,
metadata_7,created_date,,,,
metadata_8,last_edited_user,,,,
metadata_9,last_edited_date,,,,
metadata_10,DateLoadedInDb,,,,
metadata_11,DBKey,,,,
metadata_12,GlobalID,,,,
metadata_13,ViewOBJECTID,,,,
metadata_14,SDE_STATE_ID,,,,
metadata_15,GDB_GEOMATTR_DATA,,,,
metadata_16,Shape,,,,
plot_observation,Rill_Frequency,,,some potential indicators from plot obs ALT 6/4,
plot_observation,Rill_Length,,,,
plot_observation,Rill_Distribution,,,,
plot_observation,Gullies_PerenVegCover,,,,
plot_observation,Gullies_AnnVegCover,,,,
plot_observation,Gullies_Nickpoints,,,,
plot_observation,Gullies_Downcutting,,,,
plot_observation,Gullies_DepthWidth,,,,
plot_observation,Gullies_Num,,,,
plot_observation,Gullies_HeadcutNum,,,,
plot_observation,Pedastals,,,,
plot_observation,RootExposure,,,,
plot_observation,Terracettes,,,,
plot_observation,WindScour_Extent,,,,
plot_observation,WindScour_Connectivity,,,,
plot_observation,WindScour_Deposition,,,,
plot_observation,WaterFlow_Extent,,,,
plot_observation,WaterFlow_Size,,,,
plot_observation,WaterFlow_Deposition,,,,
plot_observation,WaterFlow_Connectivity,,,,
