"","Species","GrowthHabit","GrowthHabitSub","Duration"
"94","CEVE","Woody","Shrub","Perennial"
"95","ASLE8","Non-Woody","Forb/Herb","Annual"
"96","POCU3","Non-Woody","Graminoid","Perennial"
"97","COGR4","Non-Woody","Forb/Herb","Annual"
"98","CROC","Non-Woody","Forb/Herb","Annual"
"99","SISC","Non-Woody","Forb/Herb","Perennial"
"100","CAGA3","Non-Woody","Graminoid","Perennial"
"101","ANRO2","Non-Woody","Forb/Herb","Perennial"
"102","ERCO5","Non-Woody","Forb/Herb","Perennial"
"103","CAREXPG",NA,NA,NA
"104","ERHE2","Non-Woody","Forb/Herb","Perennial"
"105","KOMA","Non-Woody","Graminoid","Perennial"
"106","PIPO","Woody","Tree","Perennial"
"107","ACMI2","Non-Woody","Forb/Herb","Perennial"
"108","CRAC2","Non-Woody","Forb/Herb","Perennial"
"109","SEIN2","Non-Woody","Forb/Herb","Perennial"
"110","CAMA5","Non-Woody","Forb/Herb","Perennial"
"111","LONU2","Non-Woody","Forb/Herb","Perennial"
"112","PEDE4","Non-Woody","Forb/Herb","Perennial"
"113","CELE3","Woody","Shrub","Perennial"
"114","SCNA","Non-Woody","Forb/Herb","Perennial"
"115","ERNA","Non-Woody","Forb/Herb","Perennial"
"116","MEAL6","Non-Woody","Forb/Herb","Annual"
"117","AF04","Non-woody","Forb","Annual"
"118","PLMA4","Non-Woody","Forb/Herb","Annual"
"119","PPFF","Non-woody","Forb","Perennial"
"120","BASE2","Non-Woody","Forb/Herb","Perennial"
"121","ARKI","Non-Woody","Forb/Herb","Perennial"
"122","ERBL","Non-Woody","Forb/Herb","Perennial"
"123","SUMO","Non-Woody","Forb/Herb","Perennial"
"124","GRSP","Woody","Subshrub","Perennial"
"125","PIDE4","Woody","Subshrub","Perennial"
"126","TESP2","Woody","Subshrub","Perennial"
"127","BRAR3","Non-Woody","Graminoid","Annual"
"128","AGAU2","Non-Woody","Forb/Herb","Perennial"
"129","ANCO","Non-Woody","Forb/Herb","Perennial"
"130","DAUN","Non-Woody","Graminoid","Perennial"
"131","POFR","Non-Woody","Forb/Herb","Perennial"
"132","LUPINPF",NA,NA,NA
"133","CREPIPF",NA,NA,NA
"134","LECI4","Non-Woody","Graminoid","Perennial"
"135","PRUNUSH",NA,NA,NA
"136","MEBU","Non-Woody","Graminoid","Perennial"
"137","CLGR","Non-Woody","Forb/Herb","Annual"
"138","ACOCP","Non-Woody","Graminoid","Perennial"
"139","IOAL","Woody","Subshrub","Perennial"
"140","PERA4","Woody","Shrub","Perennial"
"141","DELPHPF",NA,NA,NA
"142","LIRU4","Non-Woody","Forb/Herb","Perennial"
"143","LUPINAF",NA,NA,NA
"144","LOMATAF",NA,NA,NA
"145","PEBO2","Non-Woody","Forb/Herb","Perennial"
"146","STNI","Non-Woody","Forb/Herb","Annual"
"147","HACU","Non-Woody","Forb/Herb","Perennial"
"148","CRAT","Non-Woody","Forb/Herb","Perennial"
"149","HISC2","Non-Woody","Forb/Herb","Perennial"
"150","MAEX","Non-Woody","Forb/Herb","Annual"
"151","LOMATPF",NA,NA,NA
"152","ERIGE2PF",NA,NA,NA
"153","LIPE2","Non-Woody","Forb/Herb","Perennial"
"154","LIPA5","Non-Woody","Forb/Herb","Perennial"
"155","ARTR4","Woody","Shrub","Perennial"
"156","LASE","Non-Woody","Forb/Herb","Annual"
"157","VULPIAG",NA,NA,NA
"158","GADI2","Non-Woody","Forb/Herb","Annual"
"159","CRYPTAF",NA,NA,NA
"160","DRAL4","Non-Woody","Forb/Herb","Annual"
"161","CHAL7","Non-Woody","Forb/Herb","Annual"
"162","ERDI4","Non-Woody","Forb/Herb","Annual"
"163","ALLIUPF",NA,NA,NA
"164","AMSINAF",NA,NA,NA
"165","HECO26","Non-Woody","Graminoid","Perennial"
"166","ERDI3","Non-Woody","Forb/Herb","Perennial"
"167","PG216","Non-woody","Graminoid","Perennial"
"168","ARCA7","Non-Woody","Forb/Herb","Perennial"
"169","ACHNAPG",NA,NA,NA
"170","ARTR2","Woody","Shrub","Perennial"
"171","LUSE4","Non-Woody","Forb/Herb","Perennial"
"172","PLPA2","Non-Woody","Forb/Herb","Annual"
"173","COCA5","Non-Woody","Forb/Herb","Annual"
"174","COUM","Non-Woody","Forb/Herb","Perennial"
"175","DOCO","Non-Woody","Forb/Herb","Perennial"
"176","ORTHOPF",NA,NA,NA
"177","DENU2","Non-Woody","Forb/Herb","Perennial"
"178","RIVI3","Woody","Shrub","Perennial"
"179","PF188","Non-woody","Forb","Perennial"
"180","CHAN9","Non-Woody","Forb/Herb","Perennial"
"181","SALIX",NA,NA,NA
"182","BRSQ2","Non-Woody","Graminoid","Annual"
"183","ROGY","Woody","Subshrub","Perennial"
"184","PHMA5","Woody","Shrub","Perennial"
"185","TRRE3","Non-Woody","Forb/Herb","Perennial"
"186","SYAL","Woody","Subshrub","Perennial"
"187","PHPR3","Non-Woody","Graminoid","Perennial"
"188","ELGL","Non-Woody","Graminoid","Perennial"
"189","RUPA","Woody","Subshrub","Perennial"
"190","TSHE","Woody","Tree","Perennial"
"191","GALIUPF",NA,NA,NA
"192","ALVIS","Woody","Tree","Perennial"
"193","ABGR","Woody","Tree","Perennial"
"194","ACGLD4","Woody","Tree","Perennial"
"195","LIBO3","Non-Woody","Forb/Herb","Perennial"
"196","FRVI","Non-Woody","Forb/Herb","Perennial"
"197","SPBE2","Woody","Shrub","Perennial"
"198","PSME","Woody","Tree","Perennial"
"199","SH121","Woody","Shrub","Perennial"
"200","BETUL",NA,NA,NA
"201","APAN2","Non-Woody","Forb/Herb","Perennial"
"202","SIME","Non-Woody","Forb/Herb","Perennial"
"203","PG137","Non-woody","Graminoid","Perennial"
"204","PF077","Non-woody","Forb","Perennial"
"205","CARU","Non-Woody","Graminoid","Perennial"
"206","PTAQ","Non-Woody","Forb/Herb","Perennial"
"207","ERUM","Non-Woody","Forb/Herb","Perennial"
"208","SH220","Woody","Shrub","Perennial"
"209","BAHO","Non-Woody","Forb/Herb","Perennial"
"210","SADO4","Woody","Subshrub","Perennial"
"211","PSSPS","Non-Woody","Graminoid","Perennial"
"212","AF271","Non-woody","Forb","Annual"
"213","PF318","Non-woody","Forb","Perennial"
"214","PSSPI","Non-Woody","Graminoid","Perennial"
"215","CADR","Non-Woody","Forb/Herb","Perennial"
"216","COAR4","Non-Woody","Forb/Herb","Perennial"
"217","ERCI6","Non-Woody","Forb/Herb","Annual"
"218","EREL5","Non-Woody","Forb/Herb","Perennial"
"219","ERNI2","Non-Woody","Forb/Herb","Perennial"
"220","SECE","Non-Woody","Graminoid","Annual"
"221","MESA","Non-Woody","Forb/Herb","Annual"
"222","HODI","Woody","Shrub","Perennial"
"223","PPTR",NA,NA,NA
"224","MAAQ2","Woody","Shrub","Perennial"
"225","SH222","Woody","Shrub","Perennial"
"226","ERLA6","Non-Woody","Forb/Herb","Annual"
"227","ATRIP",NA,NA,NA
"228","COPA28","Non-Woody","Forb/Herb","Perennial"
"229","PF337","Non-woody","Forb","Perennial"
"230","MOCA6","Woody","Tree","Perennial"
"231","RONU","Woody","Subshrub","Perennial"
"232","LUSE2","Non-Woody","Forb/Herb","Perennial"
"233","AGOSEPF",NA,NA,NA
"234","BRHO2","Non-Woody","Graminoid","Annual"
"235","TRGR7","Non-Woody","Forb/Herb","Perennial"
"236","ASTRAPF",NA,NA,NA
"237","RAGL","Non-Woody","Forb/Herb","Perennial"
"238","PENSTPF",NA,NA,NA
"239","POAPG",NA,NA,NA
"240","GAAR","Non-Woody","Forb/Herb","Perennial"
"241","ACNE9","Non-Woody","Graminoid","Perennial"
"242","VETH","Non-Woody","Forb/Herb","Annual"
"243","LUAL3","Non-Woody","Forb/Herb","Annual"
"244","AGGL","Non-Woody","Forb/Herb","Perennial"
"245","HYCA4","Non-Woody","Forb/Herb","Perennial"
"246","AF202","Non-woody","Forb","Annual"
"247","AMAL2","Woody","Shrub","Perennial"
"248","TAOF","Non-Woody","Forb/Herb","Perennial"
"249","ASLE5",NA,NA,NA
"250","BUAR3","Non-Woody","Forb/Herb","Annual"
"251","LOMA3","Non-Woody","Forb/Herb","Perennial"
"252","SANIC5","Woody","Shrub","Perennial"
"253","GAAP2","Non-Woody","Forb/Herb","Annual"
"254","LUARL5","Non-Woody","Forb/Herb","Perennial"
"255","FRAL2","Non-Woody","Forb/Herb","Perennial"
"256","NEBR","Non-Woody","Forb/Herb","Annual"
"257","CAMIM5","Non-Woody","Forb/Herb","Perennial"
"258","COLI2","Non-Woody","Forb/Herb","Annual"
"259","PHSP","Non-Woody","Forb/Herb","Perennial"
"260","SIPA4","Non-Woody","Forb/Herb","Perennial"
"261","CAEL","Non-Woody","Forb/Herb","Perennial"
"262","LUBI","Non-Woody","Forb/Herb","Annual"
"263","CRTO4","Non-Woody","Forb/Herb","Annual"
"264","COTE","Non-Woody","Forb/Herb","Annual"
"265","THIN6","Non-Woody","Graminoid","Perennial"
"266","CLPA5","Non-Woody","Forb/Herb","Annual"
"267","LALA3","Non-Woody","Forb/Herb","Perennial"
"268","CLRH","Non-Woody","Forb/Herb","Annual"
"269","SPCR","Non-Woody","Graminoid","Perennial"
"270","HIAL2","Non-Woody","Forb/Herb","Perennial"
"271","CLPU","Non-Woody","Forb/Herb","Annual"
"272","PF226","Non-woody","Forb","Perennial"
"273","PG203","Non-woody","Graminoid","Perennial"
"274","CALY",NA,NA,NA
"275","ZIVE","Non-Woody","Forb/Herb","Perennial"
"276","STMIM","Non-Woody","Forb/Herb","Perennial"
"277","ERSP7","Woody","Subshrub","Perennial"
"278","ARABI2AF",NA,NA,NA
"279","AGRE","Non-Woody","Forb/Herb","Perennial"
"280","CEST8","Non-Woody","Forb/Herb","Perennial"
"281","CHTE2","Non-Woody","Forb/Herb","Annual"
"282","LUBI3","Non-Woody","Forb/Herb","Perennial"
"283","ERDO","Non-Woody","Forb/Herb","Perennial"
"284","BALSAPF",NA,NA,NA
"285","ANFL2","Non-Woody","Forb/Herb","Perennial"
"286","DESO2","Non-Woody","Forb/Herb","Annual"
"287","SEWA","Non-Woody","Forb/Herb","Perennial"
"288","ERTH4","Non-Woody","Forb/Herb","Perennial"
"289","HICY","Non-Woody","Forb/Herb","Perennial"
"290","LAOCO","Non-Woody","Forb/Herb","Annual"
"291","PHLI","Non-Woody","Forb/Herb","Annual"
"292","PF058","Non-woody","Forb","Perennial"
"293","CENTAAF",NA,NA,NA
"294","PF057","Non-woody","Forb","Perennial"
"295","SSHH","Woody","Shrub","Perennial"
"296","CEDI3","Non-Woody","Forb/Herb","Annual"
"297","POBA2","Woody","Tree","Perennial"
"298","AMAL","Non-Woody","Forb/Herb","Annual"
"299","LITHO2PF",NA,NA,NA
"300","BACA3","Non-Woody","Forb/Herb","Perennial"
"301","EPCI","Non-Woody","Forb/Herb","Perennial"
"302","GARA2","Non-Woody","Forb/Herb","Annual"
"303","CRGR3","Non-Woody","Forb/Herb","Annual"
"304","ARARL","Woody","Subshrub","Perennial"
"305","NABR","Non-Woody","Forb/Herb","Annual"
"306","DEBI",NA,NA,NA
"307","LEOB","Non-Woody","Forb/Herb","Annual"
"308","ARHI","Non-Woody","Forb/Herb","Annual"
"309","CRFL4","Non-Woody","Forb/Herb","Annual"
"310","JUTE","Non-Woody","Graminoid","Perennial"
"311","PASM","Non-Woody","Graminoid","Perennial"
"312","CAMI2","Non-Woody","Forb/Herb","Annual"
"313","CYLE7","Non-Woody","Forb/Herb","Annual"
"314","ARRY","Non-Woody","Forb/Herb","Perennial"
"315","ERPU2","Non-Woody","Forb/Herb","Perennial"
"316","CRIN4","Non-Woody","Forb/Herb","Perennial"
"317","SPMU2","Non-Woody","Forb/Herb","Perennial"
"318","HAGL","Non-Woody","Forb/Herb","Annual"
"319","BRCA5","Non-Woody","Graminoid","Annual"
"320","MEVE5","Non-Woody","Forb/Herb","Annual"
"321","GETR","Non-Woody","Forb/Herb","Perennial"
"322","CATA2","Non-Woody","Forb/Herb","Perennial"
"323","DEAN","Non-Woody","Forb/Herb","Perennial"
"324","AGUR","Non-Woody","Forb/Herb","Perennial"
"325","POTR5","Woody","Tree","Perennial"
"326","RHTR","Woody","Shrub","Perennial"
"327","EROVP2","Non-Woody","Forb/Herb","Perennial"
"328","LOGR","Non-Woody","Forb/Herb","Perennial"
"329","MICU2","Non-Woody","Forb/Herb","Annual"
"330","ARAC2","Non-Woody","Forb/Herb","Perennial"
"331","MELO4","Non-Woody","Forb/Herb","Perennial"
"332","DEGL","Non-Woody","Forb/Herb","Perennial"
"333","AMLY","Non-Woody","Forb/Herb","Annual"
"334","ALNE","Non-Woody","Forb/Herb","Perennial"
"335","PPGG","Non-woody","Graminoid","Perennial"
"336","ERAP","Non-Woody","Forb/Herb","Perennial"
"337","TRIFOPF",NA,NA,NA
"338","SECR","Non-Woody","Forb/Herb","Perennial"
"339","ARARL3","Woody","Shrub","Perennial"
"340","CHAL9",NA,NA,NA
"341","GUSA2","Non-Woody","Forb/Herb","Perennial"
"342","STAC","Non-Woody","Forb/Herb","Perennial"
"343","LOCO4","Non-Woody","Forb/Herb","Perennial"
"344","GAGL2","Non-Woody","Forb/Herb","Perennial"
"345","SYOC","Woody","Shrub","Perennial"
"346","MASA","Non-Woody","Forb/Herb","Annual"
"347","FEOC","Non-Woody","Graminoid","Perennial"
"348","GATR6","Non-Woody","Forb/Herb","Annual"
"349","ATCA2","Woody","Shrub","Perennial"
"350","MERTEPF",NA,NA,NA
"351","ASPU9","Non-Woody","Forb/Herb","Perennial"
"352","SAKA","Non-Woody","Forb/Herb","Annual"
"353","SATR12","Non-Woody","Forb/Herb","Annual"
"354","GILIAAF",NA,NA,NA
"355","JUAR2","Non-Woody","Graminoid","Perennial"
"356","AGEX","Non-Woody","Graminoid","Perennial"
"357","VEDU","Non-Woody","Graminoid","Annual"
"358","ARPA16","Woody","Subshrub","Perennial"
"359","ALDO","Non-Woody","Forb/Herb","Perennial"
"360","CORA5","Non-Woody","Forb/Herb","Annual"
"361","ERSP3","Non-Woody","Forb/Herb","Annual"
"362","TECA3","Non-Woody","Forb/Herb","Perennial"
"363","MACA2","Non-Woody","Forb/Herb","Annual"
"364","ARLU","Non-Woody","Forb/Herb","Perennial"
"365","ARCO5","Non-Woody","Forb/Herb","Perennial"
"366","VUOC","Non-Woody","Graminoid","Annual"
"367","MEFU","Non-Woody","Graminoid","Perennial"
"368","LUAL4","Woody","Subshrub","Perennial"
"369","SPOROAG",NA,NA,NA
"370","APIN","Non-Woody","Graminoid","Annual"
"371","ARARA","Woody","Subshrub","Perennial"
"372","ALTO","Non-Woody","Forb/Herb","Perennial"
"373","DEIN5","Non-Woody","Forb/Herb","Annual"
"374","IDSC","Non-Woody","Forb/Herb","Annual"
"375","ASAT","Non-Woody","Forb/Herb","Perennial"
"376","MYDI","Non-Woody","Forb/Herb","Annual"
"377","VUBR","Non-Woody","Graminoid","Annual"
"378","EPMI","Non-Woody","Forb/Herb","Annual"
"379","SEVU","Non-Woody","Forb/Herb","Annual"
"380","PG01","Non-woody","Graminoid","Perennial"
"381","LARI","Non-Woody","Forb/Herb","Perennial"
"382","CLPE","Non-Woody","Forb/Herb","Annual"
"383","AG01","Non-woody","Graminoid","Annual"
"384","PLTE","Non-Woody","Forb/Herb","Annual"
"385","LOCA4","Non-Woody","Forb/Herb","Perennial"
"386","AGHE2","Non-Woody","Forb/Herb","Annual"
"387","LUAR3","Non-Woody","Forb/Herb","Perennial"
"388","ROWO","Woody","Subshrub","Perennial"
"389","CRAM3","Non-Woody","Forb/Herb","Annual"
"390","PRVI","Woody","Shrub","Perennial"
"391","VIAM","Non-Woody","Forb/Herb","Perennial"
"392","POMI","Non-Woody","Forb/Herb","Annual"
"393","NEPE","Non-Woody","Forb/Herb","Annual"
"394","LODO2","Non-Woody","Forb/Herb","Perennial"
"395","PESE12","Non-Woody","Forb/Herb","Perennial"
"396","ELELH","Non-Woody","Graminoid","Perennial"
"397","CAAND","Non-Woody","Forb/Herb","Perennial"
"398","PF215","Non-woody","Forb","Perennial"
"399","ERCH4","Non-Woody","Forb/Herb","Perennial"
"400","VUMI","Non-Woody","Graminoid","Annual"
"401","EROVO5","Non-Woody","Forb/Herb","Perennial"
"402","LARA","Non-Woody","Forb/Herb","Annual"
"403","NEST5","Non-Woody","Forb/Herb","Perennial"
"404","ASCU4","Non-Woody","Forb/Herb","Perennial"
"405","LIGL2","Non-Woody","Forb/Herb","Perennial"
"406","VITR3","Non-Woody","Forb/Herb","Perennial"
"407","ASCO11","Non-Woody","Forb/Herb","Perennial"
"408","RICE","Woody","Shrub","Perennial"
"409","PORA3","Non-Woody","Forb/Herb","Annual"
"410","SIID","Non-Woody","Forb/Herb","Perennial"
"411","ANLU2","Non-Woody","Forb/Herb","Perennial"
"412","COCA7","Non-Woody","Forb/Herb","Annual"
"413","SCAN3","Non-Woody","Forb/Herb","Perennial"
"414","ERSPS4","Woody","Subshrub","Perennial"
"415","JUCO6","Woody","Tree","Perennial"
"416","TRGRG2","Non-Woody","Forb/Herb","Perennial"
"417","NADI3","Non-Woody","Forb/Herb","Annual"
"418","MILA","Non-Woody","Forb/Herb","Perennial"
"419","CICA6","Non-Woody","Forb/Herb","Perennial"
"420","ERCA8","Non-Woody","Forb/Herb","Perennial"
"421","MACI2","Non-Woody","Forb/Herb","Annual"
"422","ERPO2","Non-Woody","Forb/Herb","Perennial"
"423","LOPA5","Non-Woody","Forb/Herb","Perennial"
"424","PF16","Non-woody","Forb","Perennial"
"425","ERCO12","Non-Woody","Forb/Herb","Perennial"
"426","HILO","Non-Woody","Forb/Herb","Perennial"
"427","SIOR","Non-Woody","Forb/Herb","Perennial"
"428","ORTE2","Non-Woody","Forb/Herb","Annual"
"429","BAIN","Non-Woody","Forb/Herb","Perennial"
"430","CHLE4","Non-Woody","Forb/Herb","Annual"
"431","ARSO2","Non-Woody","Forb/Herb","Perennial"
"432","WOOR","Non-Woody","Forb/Herb","Perennial"
"433","SIDO","Non-Woody","Forb/Herb","Perennial"
"434","POAR7","Non-Woody","Forb/Herb","Perennial"
"435","HISCA","Non-Woody","Forb/Herb","Perennial"
"436","ERSTS3","Non-Woody","Forb/Herb","Perennial"
"437","PREM","Woody","Tree","Perennial"
"438","RIAU","Woody","Shrub","Perennial"
"439","AGGR","Non-Woody","Forb/Herb","Perennial"
"440","LOPE","Non-Woody","Graminoid","Perennial"
"441","PF20","Non-woody","Forb","Perennial"
"442","ARHO2","Non-Woody","Forb/Herb","Perennial"
"443","OLDOI","Non-Woody","Forb/Herb","Perennial"
"444","ANUM","Non-Woody","Forb/Herb","Perennial"
"445","POPR","Non-Woody","Graminoid","Perennial"
"446","ASCO7","Non-Woody","Forb/Herb","Perennial"
"447","VIPR3","Non-Woody","Forb/Herb","Perennial"
"448","DOPU","Non-Woody","Forb/Herb","Perennial"
"449","PG301","Non-woody","Graminoid","Perennial"
"450","ALAL3","Non-Woody","Forb/Herb","Annual"
"451","POPA8","Non-Woody","Forb/Herb","Annual"
"452","CAPI3","Non-Woody","Forb/Herb","Perennial"
"453","AF406","Non-woody","Forb","Annual"
"454","LESE17","Non-Woody","Forb/Herb","Annual"
"455","FRPU2","Non-Woody","Forb/Herb","Perennial"
"456","PF350","Non-woody","Forb","Perennial"
"457","PF01","Non-woody","Forb","Perennial"
"458","LUPIN",NA,NA,NA
"459","BRBR5","Non-Woody","Graminoid","Annual"
"460","PF07","Non-woody","Forb","Perennial"
"461","CIUN","Non-Woody","Forb/Herb","Perennial"
"462","PF02","Non-woody","Forb","Perennial"
"463","MEDIC",NA,NA,NA
"464","JUNCU",NA,NA,NA
"465","LOMAT",NA,NA,NA
"466","PEGA","Non-Woody","Forb/Herb","Perennial"
"467","ACHE10","Non-Woody","Graminoid","Perennial"
"468","ARENA",NA,NA,NA
"469","ASFA","Non-Woody","Forb/Herb","Perennial"
"470","PF06","Non-woody","Forb","Perennial"
"471","PF05","Non-woody","Forb","Perennial"
"472","ACRE3","Non-Woody","Forb/Herb","Perennial"
"473","AF01","Non-woody","Forb","Annual"
"474","THPO7","Non-Woody","Graminoid","Perennial"
"475","ALSE",NA,NA,NA
"476","PHLOX",NA,NA,NA
"477","ASTRA",NA,NA,NA
"478","CHVI",NA,NA,NA
"479","HYPERAF",NA,NA,NA
"480","POPO4","Non-Woody","Forb/Herb","Annual"
"481","PHLOL2","Non-Woody","Forb/Herb","Perennial"
"482","PF27","Non-woody","Forb","Perennial"
"483","LONE","Non-Woody","Forb/Herb","Perennial"
"484","PF18","Non-woody","Forb","Perennial"
"485","CRMO4","Non-Woody","Forb/Herb","Perennial"
"486","LONEN","Non-Woody","Forb/Herb","Perennial"
"487","AF476","Non-woody","Forb","Annual"
"488","PF021","Non-woody","Forb","Perennial"
"489","AGGLL","Non-Woody","Forb/Herb","Perennial"
"490","LOVA","Non-Woody","Forb/Herb","Perennial"
"491","AMMEI2","Non-Woody","Forb/Herb","Annual"
"492","ALPA3","Non-Woody","Forb/Herb","Perennial"
"493","LUAR","Woody","Subshrub","Perennial"
"494","CADO2","Non-Woody","Graminoid","Perennial"
"495","PF33","Non-woody","Forb","Perennial"
"496","ANST2","Non-Woody","Forb/Herb","Perennial"
"497","DENU3","Non-Woody","Forb/Herb","Perennial"
"498","LOTR","Non-Woody","Forb/Herb","Perennial"
"499","AGGI","Non-Woody","Forb/Herb","Annual"
"500","CUDO3","Non-Woody","Forb/Herb","Perennial"
"501","ALTOT","Non-Woody","Forb/Herb","Perennial"
"502","AGHE3","Non-Woody","Graminoid","Annual"
"503","PF82","Non-woody","Forb","Perennial"
"504","NAPU4",NA,NA,NA
"505","JUARL","Non-Woody","Graminoid","Perennial"
"506","PF74","Non-woody","Forb","Perennial"
"507","VIPU4","Non-Woody","Forb/Herb","Perennial"
"508","ARNO4","Woody","Subshrub","Perennial"
"509","CALI4","Non-Woody","Forb/Herb","Perennial"
"510","CAVA3","Non-Woody","Graminoid","Perennial"
"511","VINU2","Non-Woody","Forb/Herb","Perennial"
"512","LERE7","Non-Woody","Forb/Herb","Perennial"
"513","LUBR2","Non-Woody","Forb/Herb","Annual"
"514","ARHOP2","Non-Woody","Forb/Herb","Perennial"
"515","ERBL2","Woody","Shrub","Perennial"
"516","HOJU","Non-Woody","Graminoid","Perennial"
"517","PF104","Non-woody","Forb","Perennial"
"518","PF108","Non-woody","Forb","Perennial"
"519","PF169","Non-woody","Forb","Perennial"
"520","PF171","Non-woody","Forb","Perennial"
"521","CRAF","Non-Woody","Forb/Herb","Annual"
"522","CRCI2","Non-Woody","Forb/Herb","Annual"
"523","ABME","Non-Woody","Forb/Herb","Perennial"
